Business_Sector,Business_Function,Business_Process,Business_Activity,Business_Resource
MINING,"Exploration and Geology, Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Collection,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Storage,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Management,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Data Analysis,
MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,Use of ML,
MINING,Mining Operations,Automation and Robotics,Automation of the drilling production process,
MINING,Mining Operations,Automation and Robotics,"Utilization of advanced production technologies e.g., additive manufacturing",
MINING,Mining Operations,Automation and Robotics,Automation of the blasting production process,
MINING,Mining Operations,Automation and Robotics,Automation of the loading production process,
MINING,Mining Operations,Automation and Robotics,Use of digital device for seismicity measurement for geotechnical analysis,
MINING,Mining Operations,Automation and Robotics,Use of digital device and technology in ascertaining rock properties for geotechnical analysis,
MINING,Mining Operations,Automation and Robotics,Use of technology for the loading and hauling and hoisting fuel cost,
MINING,Mining Operations,Automation and Robotics,Stability risk analysis,
MINING,Mining Operations,Automation and Robotics,Continuous geotechnical monitoring,
MINING,Mining Operations,Automation and Robotics,Automating the type of mining method as per the rock quality,
MINING,Mining Operations,Automation and Robotics,Digital device in slope geometry,
MINING,Mining Operations,Automation and Robotics,Automation of the hauling production process,
MINING,Mining Operations,Automation and Robotics,Debottlenecking,
MINING,Mining Operations,Automation and Robotics,Value Chain Visualisation,
MINING,Mining Operations,Automation and Robotics,Pit to Port,
MINING,Mining Operations,Automation and Robotics,Automation of the hoisting production process,
MINING,Mining Operations,Internet of Things (IoT) Integration,Equipment performance,
MINING,Mining Operations,Internet of Things (IoT) Integration,Environmental conditions,
MINING,Mining Operations,Internet of Things (IoT) Integration,digital communication Utilization with stakeholders,
MINING,Mining Operations,Internet of Things (IoT) Integration,"Collect, update, and distribute project documents through digital platform",
MINING,Mining Operations,Internet of Things (IoT) Integration,"Computer-aided calculation, optimization, and simulation",
MINING,Mining Operations,Internet of Things (IoT) Integration,"Utilize IoT-solutions, advanced analytics, or artificial intelligence",
MINING,Mining Operations,Internet of Things (IoT) Integration,Digitally monitor problem issues and solving process,
MINING,Mining Operations,Internet of Things (IoT) Integration,Decision making,
MINING,Mining Operations,Internet of Things (IoT) Integration,Workflow optimization,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Predictive Maintenance,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Asset Optimization,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Power Plant Simulation,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Grid Simulation,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Building Energy Management,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Demand Response Optimization,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Wind and Solar Farm Modeling,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Energy Storage Optimization,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Fault Detection and Isolation,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Emissions Monitoring and Mitigation,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Disaster Response Planning,
MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,Compliance Modeling,
MINING,"Supply Chain and Logistics,Health  Safety  and Environment (HSE),Corporate Development and Strategy,Human Resources (HR),Mining Operations",Advanced Communication and Connectivity,Wireless network,
MINING,"Supply Chain and Logistics,Health  Safety  and Environment (HSE),Corporate Development and Strategy,Human Resources (HR),Mining Operations",Advanced Communication and Connectivity,Satelite communication,
MINING,"Supply Chain and Logistics,Health  Safety  and Environment (HSE),Corporate Development and Strategy,Human Resources (HR),Mining Operations",Advanced Communication and Connectivity,Fibre optics,
MINING,"Supply Chain and Logistics,Health  Safety  and Environment (HSE),Corporate Development and Strategy,Human Resources (HR),Mining Operations",Advanced Communication and Connectivity,Sensitive data,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Infrastructure,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Operational systems,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Data privacy,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Intrusion Detection and Prevention,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Data Encryption and Secure Communication,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Access Control and Authentication,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Incident Response and Recovery,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Compliance with Regulatory Requirements,
MINING,Legal and Compliance,Cybersecurity and Data Privacy,Continuous Monitoring and Auditing,
MINING,Supply Chain and Logistics,Supply Chain Digitization,Procurement,
MINING,Supply Chain and Logistics,Supply Chain Digitization,Logistics,
MINING,Supply Chain and Logistics,Supply Chain Digitization,Inventory management,
MINING,Supply Chain and Logistics,Supply Chain Digitization,Real time tracking,
MINING,Human Resources (HR),Workforce Skills and Training,Training programs,
MINING,Human Resources (HR),Workforce Skills and Training,Knowledge transfer initiatives,
MINING,Human Resources (HR),Workforce Skills and Training,Workforce development strategies,
MINING,Human Resources (HR),Workforce Skills and Training,Digital literacy and skills,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Environmental impact,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Energy consumption,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Sustainable mining practice,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,smart energy management,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,waste reduction,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Rehabilitation,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Digital authority involvement in environmental issues,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,"Digital plan, monitoring and tracking of environmental issues",
MINING,"Finance and Accounting,Corporate Development and Strategy",Strategic Vision and Leadership,Strategic vision,
MINING,"Finance and Accounting,Corporate Development and Strategy",Strategic Vision and Leadership,Leadership commitment,
MINING,"Finance and Accounting,Corporate Development and Strategy",Strategic Vision and Leadership,Organizational structure,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Enabling Real-Time Visibility,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Alarms,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Alerts,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Remote Troubleshooting Capabilities,
MINING,Mining Operations,Power Generation ,Transmission Infrastructure,
MINING,Mining Operations,Power Generation ,Distribution Networks,
MINING,Mining Operations,Power Generation ,Grid Stability and Reliability,
MINING,Mining Operations,Power Generation ,Renewable Integration,
MINING,Mining Operations,Power Generation ,Environmental Impact,
MINING,Mining Operations,Power Generation ,Generation Capacity,
MINING,Mining Operations,Power Generation ,Electricity Generation,
MINING,Mining Operations,generation technology,Heat Rate,
MINING,Mining Operations,generation technology,Forced Outage Rate,
MINING,Mining Operations,generation technology,Conversion Efficiency,
MINING,Mining Operations,generation technology,Emissions Intensity,
MINING,Mining Operations,generation technology,Fuel Cost,
MINING,Mining Operations,generation technology,Interconnection Capacity,
MINING,Mining Operations,generation technology,Nuclear Capacity Factor,
MINING,Mining Operations,generation technology,Electricity Generation,
MINING,Finance and Accounting,Digital Capability,IT Infrastructure,
MINING,Finance and Accounting,Digital Capability,Descriptive Analysis,
MINING, Finance and Accounting,Digital Capability,Predictive Analysis,
MINING,Human Resources (HR),Human Resources,Training on digital platforms,
MINING,Human Resources (HR),Human Resources,Monitor skills on digital platforms,
MINING,Human Resources (HR),Human Resources,Digitally monitor staff health status,
MINING,Human Resources (HR),Human Resources,Change Management,
MINING,Human Resources (HR),Human Resources,Reskilling,
MINING,Human Resources (HR),Human Resources,Stakeholder Engagement,
MINING,Human Resources (HR),Worker Enablement,Quick Decision,
MINING,Human Resources (HR),Worker Enablement,Making Employee,
MINING,Human Resources (HR),Worker Enablement,Enablement,
MINING,Human Resources (HR),Worker Enablement,Employee Effectiveness,
MINING,Human Resources (HR),Culture,Work Transformation,
MINING,Human Resources (HR),Culture,Changing Behaviour,
MINING,Human Resources (HR),Culture,Departmental Transformation,
MINING,Human Resources (HR),Culture,People Transformation,
MINING,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Customer Satisfaction,
MINING,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Mine to Customer,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integrated Operations Centres,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Realtime data,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integration,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Data-Driven Mine,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Eliminating Silos,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Single Platform,
MINING,Human Resources (HR),Performance Management,Value Chain Optimisation,
MINING,Human Resources (HR),Performance Management,Business Intelligence,
MINING,Human Resources (HR),Performance Management,Business Improvement,
MINING,Human Resources (HR),Performance Management,Shareholder Returns,
MINING,Human Resources (HR),Performance Management,Key Performance Indicators,
MINING,Community and Stakeholder Relations,Stakeholder Involvement,Labour,
MINING,Community and Stakeholder Relations,Stakeholder Involvement,Unions,
MINING,Community and Stakeholder Relations,Stakeholder Involvement,Employees,
MINING,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Practicality of technologies,
MINING,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Project Value Realisation,
MINING,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Motivation (No Incentives),
MINING,Corporate Development and Strategy, Change Management,Ineffective change management,
MINING,Corporate Development and Strategy, Change Management,communication,
MINING,Corporate Development and Strategy, Change Management,Change Resistance,
MINING,Corporate Development and Strategy, Change Management,Reskilling,
MINING,"Mining Operations,Health  Safety  and Environment (HSE)",Worker Safety,Safety message announcement,
MINING,"Mining Operations,Health  Safety  and Environment (HSE)",Worker Safety,Monitoring of staff and visitor presence,
MINING,Legal and Compliance,Contract management,Digitally update and follow-up contracts towards clients,
MINING,Legal and Compliance,Contract management,Digitally track sub-contractor and supplier,
MINING,Legal and Compliance,Contract management,payment management,
MINING,Mining Operations,Quality control,Collect and monitor progress reports,
MINING,Mining Operations,Quality control,Quality inspections with mobile devices,
MINING,Mining Operations,Scheduling,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",
MINING,Mining Operations,Scheduling,Plan and simulate site progress in 4D-software,
MINING,Mining Operations,Scheduling,Maintain a digital construction site disposition plan,
MINING,Mining Operations,Logistics,"Identify, track and locate material and equipment on-site with digital tools",
MINING,Mining Operations,Logistics,"Digitally monitor procurement orders, receipts, use, and quality issues",
MINING,Mining Operations,Logistics,Maintain digital bill of quantities,
MINING,Mining Operations,Design management,Visualize drawings and 3D models on-site on mobile platforms,
MINING,Mining Operations,Design management,"Update digital drawings, models and technical information with notes and asbuilt records",
MINING,Mining Operations,Ventiltion requirements,Dust control measures,
MINING,Mining Operations,Ventiltion requirements,control measures,
MINING,Mining Operations,Ventiltion requirements,Satbilization of haul road surfaces,
MINING,Mining Operations,Ventiltion requirements,Utilization of fog cannons for visible dust,
MINING,Mining Operations,Ventiltion requirements,Dust supression installation systems,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Comminution,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Ore characterization,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Process facilities,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Plant operation and mainatainance philosophy,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Expandability and expansion options,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Classification,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Gravity Separation,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Flotation,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Magnetic Separation,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Leaching,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Dewatering,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Smelting and Refining,
MINING,Mining Operations,Mine access,Blind splot,
MINING,Mining Operations,Mine access,Intersections,
MINING,Mining Operations,Mine access,Safety berms and ditches,
MINING,Mining Operations,Mine access,Equipment selection process,
MINING,Mining Operations,Mine access,Material handling,
MINING,Mining Operations,Mine access,haul road cross-sections,
MINING,Mining Operations,Mine access,drainage requirements,
MINING,Mining Operations,Mine access,road construction materials,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Product specification,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Demand and supply forecast,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Pricing strategy,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Competitors,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Revenue forecast,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Product shipping storage and distribution,
MINING,Mining Operations,Undeground and surface infrastructure,Utilities,
MINING,Mining Operations,Undeground and surface infrastructure,Change rooms,
MINING,Mining Operations,Undeground and surface infrastructure,Underground waiting areas,
MINING,Mining Operations,Undeground and surface infrastructure,Transport infrastructures,
MINING,Mining Operations,Undeground and surface infrastructure,Temporary infrastructures,
MINING,Mining Operations,Undeground and surface infrastructure,Communication,
MINING,Mining Operations,Undeground and surface infrastructure,Building and facilities ,
MINING,Maintainance ,Equipment Inspection,Application of lubricant,
MINING,Maintainance ,Equipment Inspection,Scheduled inspection,
MINING,Maintainance ,Calibration of Instruments,Gauge calibration,
MINING,Maintainance ,Calibration of Instruments,Sensor calibration,
MINING,Maintainance ,Calibration of Instruments,Monitoring instruments calibration,
MINING,Maintainance ,Predictive Maintenance,Condition Monitoring,
MINING,Maintainance ,Predictive Maintenance,Vibration analysis,
MINING,Maintainance ,Predictive Maintenance,Thermography,
MINING,Maintainance ,Predictive Maintenance,Oil analysis,
MINING,Maintainance ,Predictive Maintenance,Data analysis,
MINING,Maintainance ,Maintenance Scheduling,Planned mantainance,
MINING,Maintainance ,Maintenance Scheduling,Scheduled maintainance ,
MINING,Maintainance ,Corrective Maintenance,Breakdown Repairs,
MINING,Maintainance ,Corrective Maintenance,Fault Diagnosis,
MINING,Maintainance ,Corrective Maintenance,Component Replacement,
MINING,Maintainance ,Corrective Maintenance,Recommissioning,
MINING,Maintainance ,Asset Management,Inventory Management,
MINING,Maintainance ,Asset Management,Asset Lifecycle Management,
MINING,Maintainance ,Asset Management,Documentation and Reporting,
MINING,Maintainance ,Safety and Compliance,Safety Inspections,
MINING,Maintainance ,Safety and Compliance,Compliance Audits,
MINING,Maintainance ,Safety and Compliance,Risk Assessments,
MINING,Maintainance ,Shutdown and Turnaround Maintenance,Planning and Scheduling,
MINING,Maintainance ,Shutdown and Turnaround Maintenance,Execution of Major Overhauls,
MINING,Maintainance ,Shutdown and Turnaround Maintenance,Post-Maintenance Testing,
MINING,Maintainance ,Technical Training and Skill Development,Training Programs,
MINING,Maintainance ,Technical Training and Skill Development,Skill Development,
MINING,Quality Control (QC),Sampling and Testing,Chemical analysis,
MINING,Quality Control (QC),Sampling and Testing,Lab test,
MINING,Quality Control (QC),Sampling and Testing,Physical property test,
MINING,Quality Control (QC),Sampling and Testing,Raw material sampling,
MINING,Quality Control (QC),Sampling and Testing,Intermediate product sampling,
MINING,Quality Control (QC),Sampling and Testing,Final output product,
MINING,Quality Control (QC),In-Process Inspections,Continuous monitoring,
MINING,Quality Control (QC),In-Process Inspections,Real-time quality checks,
MINING,Quality Control (QC),Defect Analysis,Identifying defects,
MINING,Quality Control (QC),Defect Analysis,Analyzing defects,
MINING,Quality Control (QC),Defect Analysis,Implementing corrective measures,
MINING,Quality Control (QC),Quality Assurance (QA),Process Standardization,
MINING,Quality Control (QC),Quality Assurance (QA),Compliance Audits,
MINING,Quality Control (QC),Quality Assurance (QA),Supplier Quality Management,
MINING,Quality Control (QC),Environmental Monitoring,Air and Water Quality Monitoring,
MINING,Quality Control (QC),Environmental Monitoring,Waste Management,
MINING,Quality Control (QC),Environmental Monitoring,Reclamation Quality Control,
MINING,Quality Control (QC),Process Optimization,Continuous Improvement Programs,
MINING,Quality Control (QC),Process Optimization,Process Control Systems,
MINING,Quality Control (QC),Process Optimization,Quality Metrics and Reporting,
MINING,Quality Control (QC),"Health, Safety, Environment, and Quality (HSEQ) Integration",HSEQ Audits,
MINING,Quality Control (QC),"Health, Safety, Environment, and Quality (HSEQ) Integration",HSEQ Training,
MINING,Quality Control (QC),"Health, Safety, Environment, and Quality (HSEQ) Integration",Incident Reporting and Analysis,
MINING,Quality Control (QC),Customer Quality Assurance,Contract Compliance,
MINING,Quality Control (QC),Customer Quality Assurance,Customer Feedback Management,
MINING,Quality Control (QC),Customer Quality Assurance,Product Certification,
MINING,Quality Control (QC),Quality Management Systems (QMS),Implementation of QMS,
MINING,Quality Control (QC),Quality Management Systems (QMS),Documentation and Record Keeping,
MINING,Quality Control (QC),Quality Management Systems (QMS),Management Reviews,
MINING,Quality Control (QC),Training and Development,Quality Training Programs,
MINING,Quality Control (QC),Training and Development,Skill Development,
MINING,Quality Control (QC),Training and Development,Competency Assessments,
MINING,Quality Control (QC),Risk Management,Risk Assessments,
MINING,Quality Control (QC),Risk Management,Mitigation Planning,
MINING,Quality Control (QC),Risk Management,Contingency Planning,
MINING,Quality Control (QC),Product and Process Certification,ISO Certification,
MINING,Quality Control (QC),Product and Process Certification,Product Grading and Certification,
