Business Sector,Business Function,Business Process,Business Activity,Technology,Skills
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Environmental impact,,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Energy consumption,,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Sustainable mining practice,,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,smart energy management,,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,waste reduction,,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Rehabilitation,,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Digital authority involvement in environmental issues,,
MINING,"Health  Safety  and Environment (HSE),Community and Stakeholder Relations",Environmental and Sustainability Solutions,"Digital plan, monitoring and tracking of environmental issues",,
MINING,"Finance and Accounting,Corporate Development and Strategy",Strategic Vision and Leadership,Strategic vision,,
MINING,"Finance and Accounting,Corporate Development and Strategy",Strategic Vision and Leadership,Leadership commitment,,
MINING,"Finance and Accounting,Corporate Development and Strategy",Strategic Vision and Leadership,Organizational structure,,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Enabling Real-Time Visibility,,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Alarms,,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Alerts,,
MINING,Health  Safety  and Environment (HSE),Remote Monitoring and Diagnostics,Remote Troubleshooting Capabilities,,
MINING,Mining Operations,Power Generation ,Transmission Infrastructure,,
MINING,Mining Operations,Power Generation ,Distribution Networks,,
MINING,Mining Operations,Power Generation ,Grid Stability and Reliability,,
MINING,Mining Operations,Power Generation ,Renewable Integration,,
MINING,Mining Operations,Power Generation ,Environmental Impact,,
MINING,Mining Operations,Power Generation ,Generation Capacity,,
MINING,Mining Operations,Power Generation ,Electricity Generation,,
MINING,Mining Operations,generation technology,Heat Rate,,
MINING,Mining Operations,generation technology,Forced Outage Rate,,
MINING,Mining Operations,generation technology,Conversion Efficiency,,
MINING,Mining Operations,generation technology,Emissions Intensity,,
MINING,Mining Operations,generation technology,Fuel Cost,,
MINING,Mining Operations,generation technology,Interconnection Capacity,,
MINING,Mining Operations,generation technology,Nuclear Capacity Factor,,
MINING,Mining Operations,generation technology,Electricity Generation,,
MINING,Finance and Accounting,Digital Capability,IT Infrastructure,,
MINING,Finance and Accounting,Digital Capability,Descriptive Analysis,,
MINING, Finance and Accounting,Digital Capability,Predictive Analysis,,
MINING,Human Resources (HR),Human Resources,Training on digital platforms,,
MINING,Human Resources (HR),Human Resources,Monitor skills on digital platforms,,
MINING,Human Resources (HR),Human Resources,Digitally monitor staff health status,,
MINING,Human Resources (HR),Human Resources,Change Management,,
MINING,Human Resources (HR),Human Resources,Reskilling,,
MINING,Human Resources (HR),Human Resources,Stakeholder Engagement,,
MINING,Human Resources (HR),Worker Enablement,Quick Decision,,
MINING,Human Resources (HR),Worker Enablement,Making Employee,,
MINING,Human Resources (HR),Worker Enablement,Enablement,,
MINING,Human Resources (HR),Worker Enablement,Employee Effectiveness,,
MINING,Human Resources (HR),Culture,Work Transformation,,
MINING,Human Resources (HR),Culture,Changing Behaviour,,
MINING,Human Resources (HR),Culture,Departmental Transformation,,
MINING,Human Resources (HR),Culture,People Transformation,,
MINING,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Customer Satisfaction,,
MINING,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Mine to Customer,,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integrated Operations Centres,,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Realtime data,,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integration,,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Data-Driven Mine,,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Eliminating Silos,,
MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Single Platform,,
MINING,Human Resources (HR),Performance Management,Value Chain Optimisation,,
MINING,Human Resources (HR),Performance Management,Business Intelligence,,
MINING,Human Resources (HR),Performance Management,Business Improvement,,
MINING,Human Resources (HR),Performance Management,Shareholder Returns,,
MINING,Human Resources (HR),Performance Management,Key Performance Indicators,,
MINING,Community and Stakeholder Relations,Stakeholder Involvement,Labour,,
MINING,Community and Stakeholder Relations,Stakeholder Involvement,Unions,,
MINING,Community and Stakeholder Relations,Stakeholder Involvement,Employees,,
MINING,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Practicality of technologies,,
MINING,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Project Value Realisation,,
MINING,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,Motivation (No Incentives),,
MINING,Corporate Development and Strategy, Change Management,Ineffective change management,,
MINING,Corporate Development and Strategy, Change Management,communication,,
MINING,Corporate Development and Strategy, Change Management,Change Resistance,,
MINING,Corporate Development and Strategy, Change Management,Reskilling,,
MINING,"Mining Operations,Health  Safety  and Environment (HSE)",Worker Safety,Safety message announcement,,
MINING,"Mining Operations,Health  Safety  and Environment (HSE)",Worker Safety,Monitoring of staff and visitor presence,,
MINING,Legal and Compliance,Contract management,Digitally update and follow-up contracts towards clients,,
MINING,Legal and Compliance,Contract management,Digitally track sub-contractor and supplier,,
MINING,Legal and Compliance,Contract management,payment management,,
MINING,Mining Operations,Quality control,Collect and monitor progress reports,,
MINING,Mining Operations,Quality control,Quality inspections with mobile devices,,
MINING,Mining Operations,Scheduling,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",,
MINING,Mining Operations,Scheduling,Plan and simulate site progress in 4D-software,,
MINING,Mining Operations,Scheduling,Maintain a digital construction site disposition plan,,
MINING,Mining Operations,Logistics,"Identify, track and locate material and equipment on-site with digital tools",,
MINING,Mining Operations,Logistics,"Digitally monitor procurement orders, receipts, use, and quality issues",,
MINING,Mining Operations,Logistics,Maintain digital bill of quantities,,
MINING,Mining Operations,Design management,Visualize drawings and 3D models on-site on mobile platforms,,
MINING,Mining Operations,Design management,"Update digital drawings, models and technical information with notes and asbuilt records",,
MINING,Mining Operations,Ventiltion requirements,Dust control measures,,
MINING,Mining Operations,Ventiltion requirements,control measures,,
MINING,Mining Operations,Ventiltion requirements,Satbilization of haul road surfaces,,
MINING,Mining Operations,Ventiltion requirements,Utilization of fog cannons for visible dust,,
MINING,Mining Operations,Ventiltion requirements,Dust supression installation systems,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Comminution,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Ore characterization,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Process facilities,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Plant operation and mainatainance philosophy,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Expandability and expansion options,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Classification,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Gravity Separation,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Flotation,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Magnetic Separation,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Leaching,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Dewatering,,
MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,Smelting and Refining,,
MINING,Mining Operations,Mine access,Blind splot,,
MINING,Mining Operations,Mine access,Intersections,,
MINING,Mining Operations,Mine access,Safety berms and ditches,,
MINING,Mining Operations,Mine access,Equipment selection process,,
MINING,Mining Operations,Mine access,Material handling,,
MINING,Mining Operations,Mine access,haul road cross-sections,,
MINING,Mining Operations,Mine access,drainage requirements,,
MINING,Mining Operations,Mine access,road construction materials,,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Product specification,,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Demand and supply forecast,,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Pricing strategy,,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Competitors,,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Revenue forecast,,
MINING,"Exploration and Geology,Marketing and sales",Market analysis,Product shipping storage and distribution,,
MINING,Mining Operations,Undeground and surface infrastructure,Utilities,,
MINING,Mining Operations,Undeground and surface infrastructure,Change rooms,,
MINING,Mining Operations,Undeground and surface infrastructure,Underground waiting areas,,
MINING,Mining Operations,Undeground and surface infrastructure,Transport infrastructures,,
MINING,Mining Operations,Undeground and surface infrastructure,Temporary infrastructures,,
MINING,Mining Operations,Undeground and surface infrastructure,Communication,,
MINING,Mining Operations,Undeground and surface infrastructure,Building and facilities ,,
ENERGY,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,Data Collection,,
ENERGY,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,Data Storage,,
ENERGY,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,Data Management,,
ENERGY,"IT, Research and Development,HR, Finance, Logistics, operations",Data Utilization and Analytics,Data Visualization,,
ENERGY,"IT, Research and Development,HR, Finance, Logistics, operations",Automation and Robotics,Alerts,,
ENERGY,"operations, IT, Research and Development,HR, Finance, ",Automation and Robotics,Alarms,,
ENERGY,"operations,Power Generation",Automation and Robotics,Maintenance,,
ENERGY,"operations,Power Generation",Automation and Robotics,Inspection,,
ENERGY,"operations,Power Generation",Automation and Robotics,SCADA systems,,
ENERGY,"operations,Power Generation",Automation and Robotics,Drilling ,,
ENERGY,"operations,Power Generation",Automation and Robotics,Remotely Operated Vehicles,,
ENERGY,"operations,Power Generation",Automation and Robotics,Stability risk analysis,,
ENERGY,"operations,Power Generation",Automation and Robotics,Solar Panel Cleaning:,,
ENERGY,"operations,Power Generation",Automation and Robotics,Fault Detection,,
ENERGY,"operations,Power Generation",Automation and Robotics,Digital device in slope geometry,,
ENERGY,"operations,Power Generation",Automation and Robotics,Load Balancing,,
ENERGY,"operations,Power Generation",Automation and Robotics,Leak Detection,,
ENERGY,"operations,Power Generation",Automation and Robotics,Value Chain Visualisation,,
ENERGY,"operations,Power Generation",Automation and Robotics,Robotic Inspection,,
ENERGY,"operations,Power Generation",Automation and Robotics,Energy Storage,,
ENERGY,Customer Service,Chatbots,customer inquiries,,
ENERGY,Customer Service,Billing,billing and payment processing,,
ENERGY,Customer Service,Virtual Assistants,customer interactions,,
ENERGY,Customer Service,Sentiment Analysis,customer feedback,,
ENERGY,Customer Service,Knowledge Base Management,manage and update customer,,
ENERGY,Customer Service, Feedback Analysis, customer feedback,,
ENERGY,Customer Service,Predictive Support,historical data,,
ENERGY,Customer Service,Service Ticketing,Decision making,,
ENERGY,Customer Service,Live Chat Support,real-time customer interaction,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Predictive Maintenance,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Asset Optimization,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Power Plant Simulation,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Grid Simulation,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Building Energy Management,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Demand Response Optimization,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Wind and Solar Farm Modeling,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Energy Storage Optimization,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Fault Detection and Isolation,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Emissions Monitoring and Mitigation,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Disaster Response Planning,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,Compliance Modeling,,
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Wireless network,,
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Satelite communication,,
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Fibre optics,,
ENERGY,"Supply Chain and Logistics,Safety, Health, Environment and Quality(SHEQ),Corporate Development and Strategy,Human Resources (HR),operations",Advanced Communication and Connectivity,Sensitive data,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Infrastructure,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Operational systems,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Data privacy,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Intrusion Detection and Prevention,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Data Encryption and Secure Communication,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Access Control and Authentication,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Incident Response and Recovery,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Compliance with Regulatory Requirements,,
ENERGY,Safety and Compliance,Cybersecurity and Data Privacy,Continuous Monitoring and Auditing,,
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,Procurement,,
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,Logistics,,
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,Inventory management,,
ENERGY,Supply Chain and Logistics,Supply Chain Digitization,Real time tracking,,
ENERGY,Human Resources (HR),Workforce Skills and Training,Training programs,,
ENERGY,Human Resources (HR),Recruitment,Hiring Process,,
ENERGY,Human Resources (HR),Boarding,Orientation,,
ENERGY,Human Resources (HR),Discplinary,Hearing,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Environmental impact,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Energy consumption,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Sustainable Energy practice,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,smart energy management,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,waste reduction,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Rehabilitation,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,Digital authority involvement in environmental issues,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ),Community and Stakeholder Relations",Environmental and Sustainability Solutions,"Digital plan, monitoring and tracking of environmental issues",,
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Strategic vision,,
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Leadership commitment,,
ENERGY,"Finance,Corporate Development and Strategy",Strategic Vision and Leadership,Organizational structure,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Enabling Real-Time Visibility,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Alarms,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Alerts,,
ENERGY,"Safety, Health, Environment and Quality(SHEQ)",Remote Monitoring and Diagnostics,Remote Troubleshooting Capabilities,,
ENERGY,operations,Power Generation ,Transmission Infrastructure,,
ENERGY,operations,Power Generation ,Distribution Networks,,
ENERGY,operations,Power Generation ,Grid Stability and Reliability,,
ENERGY,operations,Power Generation ,Renewable Integration,,
ENERGY,operations,Power Generation ,Environmental Impact,,
ENERGY,operations,Power Generation ,Generation Capacity,,
ENERGY,operations,Power Generation ,Electricity Generation,,
ENERGY,operations,generation technology,Heat Rate,,
ENERGY,operations,generation technology,Forced Outage Rate,,
ENERGY,operations,generation technology,Conversion Efficiency,,
ENERGY,operations,generation technology,Emissions Intensity,,
ENERGY,operations,generation technology,Fuel Cost,,
ENERGY,operations,generation technology,Interconnection Capacity,,
ENERGY,operations,generation technology,Nuclear Capacity Factor,,
ENERGY,operations,generation technology,Electricity Generation,,
ENERGY,Finance,Digital Capability,IT Infrastructure,,
ENERGY,Finance,Digital Capability,Descriptive Analysis,,
ENERGY, Finance,Digital Capability,Predictive Analysis,,
ENERGY,Human Resources (HR),Human Resources,Training on digital platforms,,
ENERGY,Human Resources (HR),Human Resources,Monitor skills on digital platforms,,
ENERGY,Human Resources (HR),Human Resources,Digitally monitor staff health status,,
ENERGY,Human Resources (HR),Human Resources,Change Management,,
ENERGY,Human Resources (HR),Human Resources,Reskilling,,
ENERGY,Human Resources (HR),Human Resources,Stakeholder Engagement,,
ENERGY,Human Resources (HR),Worker Enablement,Quick Decision,,
ENERGY,Human Resources (HR),Worker Enablement,Making Employee,,
ENERGY,Human Resources (HR),Worker Enablement,Enablement,,
ENERGY,Human Resources (HR),Worker Enablement,Employee Effectiveness,,
ENERGY,Human Resources (HR),Culture,Work Transformation,,
ENERGY,Human Resources (HR),Culture,Changing Behaviour,,
ENERGY,Human Resources (HR),Culture,Departmental Transformation,,
ENERGY,Human Resources (HR),Culture,People Transformation,,
ENERGY,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Customer Satisfaction,,
ENERGY,"Marketing and sales,Corporate Development and Strategy",Customer Experience,Mine to Customer,,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integrated Operations Centres,,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Realtime data,,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Integration,,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Data-Driven Mine,,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Eliminating Silos,,
ENERGY,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,Single Platform,,
ENERGY,Human Resources (HR),Performance Management,Value Chain Optimisation,,
ENERGY,Human Resources (HR),Performance Management,Business Intelligence,,
ENERGY,Human Resources (HR),Performance Management,Business Improvement,,
ENERGY,Human Resources (HR),Performance Management,Shareholder Returns,,
ENERGY,Human Resources (HR),Performance Management,Key Performance Indicators,,
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,Labour,,
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,Unions,,
ENERGY,Community and Stakeholder Relations,Stakeholder Involvement,Employees,,
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,Practicality of technologies,,
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,Project Value Realisation,,
ENERGY,"operations,Human Resources (HR)",Ease of Use and Adoption,Motivation (No Incentives),,
ENERGY,Corporate Development and Strategy, Change Management,Ineffective change management,,
ENERGY,Corporate Development and Strategy, Change Management,communication,,
ENERGY,Corporate Development and Strategy, Change Management,Change Resistance,,
ENERGY,Corporate Development and Strategy, Change Management,Reskilling,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,Safety message announcement,,
ENERGY,"operations,Safety, Health, Environment and Quality(SHEQ)",Worker Safety,Monitoring of staff and visitor presence,,
ENERGY,Safety and Compliance,Contract management,Digitally update and follow-up contracts towards clients,,
ENERGY,Safety and Compliance,Contract management,Digitally track sub-contractor and supplier,,
ENERGY,Safety and Compliance,Contract management,payment management,,
ENERGY,operations,Quality control,Collect and monitor progress reports,,
ENERGY,operations,Quality control,Quality inspections with mobile devices,,
ENERGY,operations,Scheduling,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",,
ENERGY,operations,Scheduling,Plan and simulate site progress in 4D-software,,
ENERGY,operations,Scheduling,Maintain a digital construction site disposition plan,,
ENERGY,operations,Logistics,"Identify, track and locate material and equipment on-site with digital tools",,
ENERGY,operations,Logistics,"Digitally monitor procurement orders, receipts, use, and quality issues",,
ENERGY,operations,Logistics,Maintain digital bill of quantities,,
ENERGY,operations,Design management,Visualize drawings and 3D models on-site on mobile platforms,,
ENERGY,operations,Design management,"Update digital drawings, models and technical information with notes and asbuilt records",,
ENERGY,operations,Ventiltion requirements,Dust control measures,,
ENERGY,operations,Ventiltion requirements,control measures,,
ENERGY,operations,Ventiltion requirements,Satbilization of haul road surfaces,,
ENERGY,operations,Ventiltion requirements,Utilization of fog cannons for visible dust,,
ENERGY,operations,Ventiltion requirements,Dust supression installation systems,,
ENERGY,"operations,Power Generation",Mineral processing,Comminution,,
ENERGY,"operations,Power Generation",Mineral processing,Ore characterization,,
ENERGY,"operations,Power Generation",Mineral processing,Process facilities,,
ENERGY,"operations,Power Generation",Mineral processing,Plant operation and mainatainance philosophy,,
ENERGY,"operations,Power Generation",Mineral processing,Expandability and expansion options,,
ENERGY,"operations,Power Generation",Mineral processing,Classification,,
ENERGY,"operations,Power Generation",Mineral processing,Gravity Separation,,
ENERGY,"operations,Power Generation",Mineral processing,Flotation,,
ENERGY,"operations,Power Generation",Mineral processing,Magnetic Separation,,
ENERGY,"operations,Power Generation",Mineral processing,Leaching,,
ENERGY,"operations,Power Generation",Mineral processing,Dewatering,,
ENERGY,"operations,Power Generation",Mineral processing,Smelting and Refining,,
ENERGY,operations,Mine access,Blind splot,,
ENERGY,operations,Mine access,Intersections,,
ENERGY,operations,Mine access,Safety berms and ditches,,
ENERGY,operations,Mine access,Equipment selection process,,
ENERGY,operations,Mine access,Material handling,,
ENERGY,operations,Mine access,haul road cross-sections,,
ENERGY,operations,Mine access,drainage requirements,,
ENERGY,operations,Mine access,road construction materials,,
ENERGY,"Exploration and Geology,Marketing and sales",Market analysis,Product shipping storage and distribution,,
